t,limit,flux,fluxerr,freq,telescope
58817.8,1,15,,,VLA
59405.3,1,6,,,VLA
59825.3,1,15,,,ASKAP
59836.3,1,15,,,ASKAP
59921.2,1,15,,,ASKAP
59934.1,1,15,,,ASKAP
59979.1,1,15,,,ASKAP
59979.2,1,15,,,ASKAP
59999.8,1,15,,,ASKAP
60010,1,15,,,ASKAP
60040.9,1,15,,,ASKAP
60070.8,1,15,,,ASKAP
60100.7,1,15,,,ASKAP
60129.6,1,15,,,ASKAP
60143.7,1,15,,,ASKAP
60160.6,1,15,,,ASKAP
60286.2,0,1870,6,,ASKAP
60305,0,154,9,,ATCA
60308,0,50,4,,ATCA
60341.1,0,254,7,,ATCA
60343.9,0,17956,5,,ASKAP
60346.9,0,4271,5,,ASKAP
60355.6,0,2144,335,,VLA
60360.1,0,4372,0.3,,MeerKAT
60369.1,0,1688,3,,ASKAP
60370.9,0,1518,2,,ASKAP
60384.8,0,1297,11,,ASKAP
60387.9,0,1233,2,,ASKAP
60393.9,0,1169,2,,ASKAP
60404.9,0,1522,4,,ASKAP
60449.8,0,422,2,,ASKAP
60478.9,0,990,3,,GMRT
60487.5,0,105,3,,ASKAP
60497.7,0,52,4,,ASKAP
60521.4,0,121,2,,ASKAP
60524.4,0,104,4,,ASKAP
60525.4,0,58,5,,ASKAP
60533.7,0,100,3,,MeerKAT
